Variable:,pr,,,,,,,,,,,
Country:,Somalia,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.98,4.03,10.9,57.24,66.29,15.05,15.18,20.05,13.51,40.7,27.14,28.6
1902,2.82,2.21,9.53,45.04,78.17,19.55,8.34,6.46,9.73,45.94,65.44,6.75
1903,3.32,2.37,9.92,54.87,49.71,10.47,11.37,9.61,27.94,40.42,27.09,6.9
1904,2.71,2.24,12.91,45.02,56.93,19.7,10.76,6.01,25.49,41.44,31.13,7.16
1905,2.75,2.45,37.31,59.17,61.3,12.09,16.23,8.08,27.27,39.73,44.67,6.77
1906,2.62,2.35,15.9,83.87,73.31,26.74,15.01,8.43,8.16,37.9,35.58,7.74
1907,2.78,2.58,9.52,71.3,74.73,13.67,15.16,9.14,13.27,41.92,31.92,17.37
1908,2.92,2.21,9.72,56.99,65.94,14.61,12.45,9.41,11.91,40.77,29.56,6.76
1909,2.98,2.13,9.63,52.55,58.86,11.49,12.12,17.93,8.58,38.22,28.6,9.16
1910,2.66,2.15,10.69,45.1,80.6,13.49,11.93,13.65,8.8,38.11,27.54,10.14
1911,2.03,1.82,15.54,66.7,45.64,9.66,17,8.36,31.26,31.06,23.66,4.41
1912,1.94,2.49,7.04,107.9,44.41,8.59,6.93,12.49,7.26,26.25,52.59,6.16
1913,2,1.93,14.56,37.31,59.18,16.25,7.1,15.07,9.91,101.87,54.45,4.2
1914,2.01,1.88,6.73,31.28,47.46,13.85,8.54,24.45,20.11,41.98,25.09,4.26
1915,1.62,1.46,6.88,29.93,48.17,15.38,10.65,5.76,18.46,25.88,24.04,5.41
1916,2.44,3.63,11.09,42.22,36.28,22.39,20.34,12.17,10.45,24.99,17.39,7.5
1917,2.32,1.81,6.49,60.04,58.16,8.49,15.86,14.05,17.84,29.82,17.36,4.31
1918,2.46,2,8.83,50.4,46.74,15.5,12.63,6.98,8.96,37.84,25.94,7.98
1919,1.64,1.74,24,49.79,48.26,17.27,14.56,8.5,11.58,44.35,20.76,6.56
1920,1.94,2.62,46.47,64.69,47.75,9.92,10.54,19.96,9.23,33.36,37.68,18.8
1921,2.59,1.45,5.45,39.43,54.92,15.38,11.62,10.92,9.87,45.6,16.75,4.17
1922,1.8,1.84,14.96,56.47,64.83,12.45,27.48,9.24,13.45,57.91,9.77,12.59
1923,2.34,5.16,15.58,77.27,63.87,23.21,19.21,9.41,25.09,95.63,46.55,14.02
1924,2.82,2.71,10.38,52.9,40,27.53,13.87,9.19,10.6,27.87,24.9,26.06
1925,3.57,2.01,7.31,25.24,44.51,17.25,14.21,17.51,9.13,57.01,74.92,4.41
1926,3.81,7.34,16.15,64.47,93.05,16.21,25.82,8.93,13.99,27.12,41.21,4.55
1927,1.17,1.04,9.04,46.54,74.92,37.78,16.16,6.78,23.07,20.66,31.19,7.87
1928,2.12,4.33,3.52,38.79,61.53,11.09,4.54,20.74,6.43,23.04,66.37,5.78
1929,1.54,3.49,3.55,40.4,26.57,20.54,23.9,16.59,29.71,47.54,28.06,18.61
1930,4.7,2.77,18.1,77.47,29.85,12.19,10.53,16.39,7.56,50.33,20.07,15.38
1931,2.13,4.28,10.83,25.54,63.41,12.62,9.66,11.99,8.53,53.81,21.89,3.23
1932,1.55,1.05,21.26,38.14,50.74,23.74,9.5,23.02,13.43,22.55,16.05,23.47
1933,5.27,1.41,5.06,57.69,43.23,15.25,10.33,13.69,10.38,46.56,24.03,13.81
1934,1.01,0.83,3.34,47.01,70.98,19.67,21.28,9.34,8.17,43.88,8.08,7.26
1935,0.84,3.47,3.34,37.73,106.13,12.37,5.52,13.16,12.75,43.53,16.95,12.69
1936,2.9,8.09,20.07,66.63,27.36,19.91,20.31,12.15,26.69,54.96,12.44,17.38
1937,1.82,2.12,32.26,67.82,71.7,17.33,8.87,7.56,11.96,51.81,28.15,2.32
1938,4.75,0.77,4.11,37.9,37.11,15.21,16.3,12.41,7.62,44.4,25.06,7.3
1939,2.53,2.1,8.5,44.23,32.69,14.98,4.07,5.73,6.33,34.28,11.49,1.83
